"date","from","to","edge","weight","pct_disc","pct_breach"
2020-08-06,"Arrived","MAJORS","Arrived~MAJORS",24,0.291666666666667,0.458333333333333
2020-08-06,"Arrived","RAT","Arrived~RAT",85,0.752941176470588,0.188235294117647
2020-08-06,"Arrived","RESUS","Arrived~RESUS",4,0.5,0
2020-08-06,"Arrived","TRIAGE","Arrived~TRIAGE",76,0.960526315789474,0.0131578947368421
2020-08-06,"Arrived","UTC","Arrived~UTC",8,0.75,0.25
2020-08-06,"DIAGNOSTICS","Discharged","DIAGNOSTICS~Discharged",1,1,0
2020-08-06,"MAJORS","Admitted","MAJORS~Admitted",36,0,0.444444444444444
2020-08-06,"MAJORS","Discharged","MAJORS~Discharged",56,1,0.142857142857143
2020-08-06,"MAJORS","RAT","MAJORS~RAT",2,0.5,0
2020-08-06,"MAJORS","RESUS","MAJORS~RESUS",2,0,1
2020-08-06,"MAJORS","TAF","MAJORS~TAF",2,1,0.5
2020-08-06,"MAJORS","UTC","MAJORS~UTC",1,1,0
2020-08-06,"RAT","Discharged","RAT~Discharged",21,1,0
2020-08-06,"RAT","MAJORS","RAT~MAJORS",68,0.720588235294118,0.205882352941176
2020-08-06,"RAT","RESUS","RAT~RESUS",5,0.4,0.4
2020-08-06,"RAT","TRIAGE","RAT~TRIAGE",11,0.909090909090909,0.0909090909090909
2020-08-06,"RAT","TRIAGE Return","RAT~TRIAGE Return",2,1,0
2020-08-06,"RAT","UTC","RAT~UTC",2,0.5,0.5
2020-08-06,"RESUS","Admitted","RESUS~Admitted",5,0,0.4
2020-08-06,"RESUS","Discharged","RESUS~Discharged",6,1,0
2020-08-06,"RESUS","MAJORS","RESUS~MAJORS",3,0.333333333333333,0.666666666666667
2020-08-06,"TAF","Discharged","TAF~Discharged",3,1,0.666666666666667
2020-08-06,"TRIAGE","Admitted","TRIAGE~Admitted",1,0,0
2020-08-06,"TRIAGE","Discharged","TRIAGE~Discharged",51,1,0
2020-08-06,"TRIAGE","MAJORS","TRIAGE~MAJORS",3,0.333333333333333,0.666666666666667
2020-08-06,"TRIAGE","RAT","TRIAGE~RAT",20,0.95,0
2020-08-06,"TRIAGE","RESUS","TRIAGE~RESUS",2,1,0
2020-08-06,"TRIAGE","UTC","TRIAGE~UTC",17,1,0
2020-08-06,"TRIAGE Return","Discharged","TRIAGE Return~Discharged",4,1,0
2020-08-06,"TRIAGE Return","MAJORS","TRIAGE Return~MAJORS",1,1,0
2020-08-06,"TRIAGE Return","RAT","TRIAGE Return~RAT",1,1,0
2020-08-06,"UTC","Admitted","UTC~Admitted",2,0,0.5
2020-08-06,"UTC","DIAGNOSTICS","UTC~DIAGNOSTICS",1,1,0
2020-08-06,"UTC","Discharged","UTC~Discharged",21,1,0.0476190476190476
2020-08-06,"UTC","MAJORS","UTC~MAJORS",2,1,0.5
2020-08-06,"UTC","RAT","UTC~RAT",1,0,1
2020-08-06,"UTC","TRIAGE Return","UTC~TRIAGE Return",3,1,0
