"from","to","edge","weight","pct_disc","pct_breach"
"MAJORS","Admitted","MAJORS~Admitted",148,0,1
"Arrived","Meas post arrival","Arrived~Meas post arrival",135,0.214814814814815,1
"RAT","MAJORS","RAT~MAJORS",129,0.248062015503876,1
"Meas post arrival","RAT","Meas post arrival~RAT",74,0.216216216216216,1
"Arrived","RAT","Arrived~RAT",48,0.208333333333333,1
"Meas post arrival","TRIAGE","Meas post arrival~TRIAGE",36,0.25,1
"MAJORS","Discharged","MAJORS~Discharged",34,1,1
"RESUS","Admitted","RESUS~Admitted",32,0,1
"Arrived","MAJORS","Arrived~MAJORS",27,0.111111111111111,1
"Meas post arrival","MAJORS","Meas post arrival~MAJORS",22,0.136363636363636,1
"TRIAGE","RAT","TRIAGE~RAT",17,0.352941176470588,1
"TRIAGE","UTC","TRIAGE~UTC",17,0.294117647058824,1
"MAJORS","RESUS","MAJORS~RESUS",16,0.125,1
"TRIAGE","MAJORS","TRIAGE~MAJORS",12,0.166666666666667,1
"Arrived","TRIAGE","Arrived~TRIAGE",9,0.333333333333333,1
"RAT","RESUS","RAT~RESUS",8,0,1
"UTC","Admitted","UTC~Admitted",8,0,1
"RAT","UTC","RAT~UTC",7,0.142857142857143,1
"OTF","Discharged","OTF~Discharged",6,0,1
"TAF","Discharged","TAF~Discharged",5,1,1
"UTC","MAJORS","UTC~MAJORS",5,0.2,1
"MAJORS","OTF","MAJORS~OTF",4,0,1
"MAJORS","TAF","MAJORS~TAF",4,1,1
"UTC","Discharged","UTC~Discharged",4,1,1
"MAJORS","RAT","MAJORS~RAT",3,0.333333333333333,1
"UTC","RAT","UTC~RAT",3,0.333333333333333,1
"Arrived","RESUS","Arrived~RESUS",2,0,1
"MAJORS","TRIAGE","MAJORS~TRIAGE",2,0,1
"Meas post arrival","RESUS","Meas post arrival~RESUS",2,0,1
"RESUS","Discharged","RESUS~Discharged",2,1,1
"RESUS","MAJORS","RESUS~MAJORS",2,0,1
"TRIAGE","RESUS","TRIAGE~RESUS",2,0,1
"UTC","OTF","UTC~OTF",2,0,1
"UTC","RESUS","UTC~RESUS",2,0,1
"Meas post arrival","UTC","Meas post arrival~UTC",1,1,1
"Meas pre arrival","Arrived","Meas pre arrival~Arrived",1,1,1
"RAT","TAF","RAT~TAF",1,1,1
"UTC","TRIAGE","UTC~TRIAGE",1,1,1
